Identifier 1,mass_Inc,mass_Cont,15N_Inc,15N_Cont,shift,Site,Treatment,Type_Inc,Type_Cont,Year,N_Kfactor_Inc,Area28_Inc,C_Kfactor_Inc,Area44_Inc,%N_Inc,%C_Inc,C:N_Inc,Total_N_Inc,Total_C_Inc,N_Kfactor_Cont,Area28_Cont,C_Kfactor_Cont,Area44_Cont,%N_Cont,%C_Cont,C:N_Cont,Total_N_Cont,Total_C_Cont,FireType,shift_N,shift_C,shift_CN
BP19,38.8,43.6,4.957,3.258,1.699,PGE,Burn,moss,cyano,2019,0.140454402,171.275,0.773440054,87.857,0.620008446,1.751343371,2.824708892,0.240563277,1.09598705,0.141142911,94.841,0.807313189,83.523,0.30702144,1.546541731,5.037243421,0.133861348,0.76358571,rx,-0.106701929,-0.33240134,2.212534529
BP20,39.8,40.5,8.023,4.499,3.524,PGE,Burn,mixed,moss,2019,0.140454402,64.844,0.773440054,86.767,0.228834805,1.686157617,7.36844911,0.091076252,2.932642746,0.141142911,152.979,0.807313189,84.63,0.533133367,1.686985559,3.164284333,0.215919013,0.682893835,rx,0.124842761,-2.249748911,-4.204164777
BP21,37.6,43.8,4.99,6.246,-1.256,PGE,Burn,moss,moss,2019,0.140454402,104.398,0.773440054,86.853,0.389977624,1.786584814,4.581249547,0.146631587,1.72254983,0.141142911,50.024,0.807313189,82.348,0.161199383,1.517822522,9.415808517,0.07060533,0.782524148,rx,-0.076026257,-0.940025682,4.83455897
BP22,36.2,37.4,7.431,7.979,-0.548,PGE,Burn,cyano,moss,2019,0.140454402,84.409,0.773440054,87.32,0.327503194,1.865657058,5.696607215,0.118556156,2.062171812,0.141142911,78.136,0.807313189,83.293,0.294875467,1.797955546,6.097338523,0.110283425,0.69775574,rx,-0.008272731,-1.364416072,0.400731308
BP23,35.98,39.9,9.862,8.242,1.62,PGE,Burn,moss,moss,2019,0.140454402,74.71,0.773440054,86.593,0.291643924,1.861436759,6.382566571,0.104933484,2.296447452,0.141142911,57.461,0.807313189,82.45,0.203263479,1.668244922,8.207302827,0.081102128,0.742713267,rx,-0.023831356,-1.553734185,1.824736256
BP24,39.54,42.2,6.224,5.278,0.946,PGE,Burn,cyano,cyano,2019,0.140454402,111.759,0.773440054,86.571,0.39699149,1.693411201,4.265610834,0.156970435,1.686622524,0.141142911,101.594,0.807313189,84.039,0.339793196,1.607720215,4.731466766,0.143392729,0.714619527,rx,-0.013577706,-0.972002997,0.465855932
BP25,42.11,39.4,21.92,6.988,14.932,RC,Control,moss,moss,2019,0.140454402,43.367,0.773440054,86.699,0.144647021,1.592412235,11.00895286,0.060910861,4.635870048,0.141142911,136.633,0.807313189,84.109,0.489461404,1.723408756,3.521030956,0.192847793,0.627410421,none,0.131936932,-4.008459627,-7.487921904
BP26,43.1,45.6,5.918,7.627,-1.709,RC,Control,moss,cyano,2019,0.140454402,100.251,0.773440054,86.833,0.326698243,1.558239448,4.769659716,0.140806943,2.055723338,0.141142911,106.909,0.807313189,83.783,0.330908935,1.483314054,4.482544581,0.150894474,0.710557188,none,0.010087531,-1.34516615,-0.287115135
BP27,39.56,38.6,6.191,6.583,-0.392,RC,Control,lichen,lichen,2019,0.140454402,62.838,0.773440054,86.623,0.223100953,1.693571734,7.591055563,0.088258737,3.003021581,0.141142911,78.026,0.807313189,83.96,0.285306134,1.756010759,6.154830033,0.110128168,0.653718689,none,0.021869431,-2.349302892,-1.43622553
BP28,37.96,39.7,5.842,9.048,-3.206,RC,Control,lichen,cyano,2019,0.140454402,78.819,0.773440054,86.697,0.291635288,1.766462917,6.057095944,0.110704755,2.29927362,0.141142911,82.898,0.807313189,83.53,0.294722041,1.698611351,5.76343509,0.11700465,0.701285778,none,0.006299895,-1.597987842,-0.293660854
BP29,40.41,44,5.079,6.911,-1.832,RC,Control,mixed,moss,2019,0.140454402,83.454,0.773440054,86.639,0.290063887,1.65825471,5.716860266,0.117214817,2.310183234,0.141142911,155.939,0.807313189,84.669,0.500220099,1.553509099,3.105651096,0.220096844,0.729632072,none,0.102882027,-1.580551162,-2.61120917
BP30,37.27,42,6.385,7.82,-1.435,RC,Control,moss,cyano,2019,0.140454402,124.756,0.773440054,86.623,0.470151043,1.797630743,3.823517502,0.175225294,1.425024973,0.141142911,62.222,0.807313189,82.613,0.209099862,1.58796582,7.594293975,0.087821942,0.755004912,none,-0.087403352,-0.670020061,3.770776473
BP31,35.27,37.6,9.1,6.693,2.407,RC,Burn,lichen,lichen,2019,0.140454402,87.68,0.773440054,87.321,0.349164785,1.914872666,5.484151746,0.12315042,1.934260321,0.141142911,97.87,0.807313189,83.694,0.367384486,1.797001862,4.891338448,0.138136567,0.719992123,wild,0.014986147,-1.214268198,-0.592813298
BP32,36.5,45.7,8.574,6.509,2.065,RC,Burn,moss,lichen,2019,0.140454402,79.7,0.773440054,86.555,0.306690845,1.834112435,5.980329912,0.111942158,2.182820418,0.141142911,57.503,0.807313189,82.823,0.177596079,1.463109414,8.23841058,0.081161408,0.838189383,wild,-0.03078075,-1.344631035,2.258080668
BP33,36.51,39.4,8.906,6.406,2.5,RC,Burn,moss,lichen,2019,0.140454402,85.834,0.773440054,86.523,0.330204414,1.832932177,5.550901503,0.120557631,2.026634139,0.141142911,121.502,0.807313189,82.777,0.435257511,1.696115833,3.896810024,0.171491459,0.722175278,wild,0.050933828,-1.304458861,-1.654091479
BP34,40.69,40.4,6.102,6.266,-0.164,RC,Burn,moss,moss,2019,0.140454402,140.574,0.773440054,86.558,0.485235614,1.645304109,3.390732384,0.197442371,1.379689007,0.141142911,32.24,0.807313189,82.963,0.112634838,1.657849606,14.71879961,0.045504474,0.66470286,wild,-0.151937897,-0.714986147,11.32806723
BP35,40.93,43.6,,5.338,-5.338,RC,Burn,cyano,lichen,2019,0.140454402,125.015,0.773440054,86.777,0.428998463,1.639794956,3.822379563,0.175589071,1.564499955,0.141142911,132.555,0.807313189,82.836,0.429110058,1.533820993,3.574423306,0.187091985,0.714950601,wild,0.011502914,-0.849549354,-0.247956257
BP36,39.64,41.7,5.314,8.68,-3.366,RC,Burn,cyano,cyano,2019,0.140454402,194.445,0.773440054,88.894,0.688967109,1.734464686,2.517485469,0.273106562,0.99793124,0.141142911,71.873,0.807313189,82.95,0.24327013,1.605914364,6.601362706,0.101443644,0.723271774,wild,-0.171662918,-0.274659466,4.083877237
BP37,39.62,38.3,4.755,6.142,-1.387,RC,Control,lichen,lichen,2018,0.140454402,199.014,0.773440054,87.454,0.705512175,1.70722934,2.41984391,0.279523924,0.958742157,0.141142911,41.476,0.807313189,83.019,0.152847085,1.749930381,11.44889599,0.058540434,0.653868837,none,-0.22098349,-0.30487332,9.02905208
BP38,44.09,40.7,7.762,8.58,-0.818,RC,Control,moss,cyano,2018,0.140454402,107.582,0.773440054,87.568,0.342716387,1.536144219,4.482260784,0.151103655,1.97622878,0.141142911,43.043,0.807313189,82.937,0.149268165,1.645113856,11.02119704,0.060752143,0.625210697,none,-0.090351512,-1.351018083,6.538936256
BP39,33.2,40.5,9.778,7.519,2.259,RC,Control,moss,cyano,2018,0.140454402,91.874,0.773440054,86.714,0.388677944,2.020122917,5.197421023,0.129041077,1.72554378,0.141142911,69.959,0.807313189,82.928,0.243807825,1.653058472,6.780169893,0.098742169,0.818149781,none,-0.030298908,-0.907393999,1.58274887
