Plot,Quad,ID,Site,Sample.Year,Burn.Year,Treatment ,cyano,Lichen,Moss,Mixed,Total,2017_precip,2018_precip,2019_precip,2020_precip
pgw02,b,pgw02b2018,pgw,2018,2017,rx,40,0,0,NA,40,5.541666667,1.863333333,5.976666667,3.336666667
pgw02,c,pgw02c2018,pgw,2018,2017,rx,4,0,0,NA,4,5.541666667,1.863333333,5.976666667,3.336666667
pgw02,d,pgw02d2018,pgw,2018,2017,rx,12,0,0,NA,12,5.541666667,1.863333333,5.976666667,3.336666667
pgw03,a,pgw03a2018,pgw,2018,2017,rx,3,0,0,NA,3,5.541666667,1.863333333,5.976666667,3.336666667
pgw03,b,pgw03b2018,pgw,2018,2017,rx,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
pgw03,c,pgw03c2018,pgw,2018,2017,rx,5,0,0,NA,5,5.541666667,1.863333333,5.976666667,3.336666667
pgw03,d,pgw03d2018,pgw,2018,2017,rx,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
pgw04,a,pgw04a2018,pgw,2018,2017,rx,5,0,0,NA,5,5.541666667,1.863333333,5.976666667,3.336666667
pgw04,b,pgw04b2018,pgw,2018,2017,rx,8,0,0,NA,8,5.541666667,1.863333333,5.976666667,3.336666667
pgw04,c,pgw04c2018,pgw,2018,2017,rx,6,0,0,NA,6,5.541666667,1.863333333,5.976666667,3.336666667
pgw04,d,pgw04d2018,pgw,2018,2017,rx,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
pgw05,a,pgw05a2018,pgw,2018,2017,rx,8,0,0,NA,8,5.541666667,1.863333333,5.976666667,3.336666667
pgw05,b,pgw05b2018,pgw,2018,2017,rx,4,0,0,NA,4,5.541666667,1.863333333,5.976666667,3.336666667
pgw05,c,pgw05c2018,pgw,2018,2017,rx,5,1,0,NA,6,5.541666667,1.863333333,5.976666667,3.336666667
pgw05,d,pgw05d2018,pgw,2018,2017,rx,4,0,0,NA,4,5.541666667,1.863333333,5.976666667,3.336666667
pgw06,a,pgw06a2018,pgw,2018,2017,rx,4,0,0,NA,4,5.541666667,1.863333333,5.976666667,3.336666667
pgw06,b,pgw06b2018,pgw,2018,2017,rx,3,0,0,NA,3,5.541666667,1.863333333,5.976666667,3.336666667
pgw06,c,pgw06c2018,pgw,2018,2017,rx,9,0,0,NA,9,5.541666667,1.863333333,5.976666667,3.336666667
pgw06,d,pgw06d2018,pgw,2018,2017,rx,8,0,0,NA,8,5.541666667,1.863333333,5.976666667,3.336666667
pgw07,a,pgw07a2018,pgw,2018,2017,rx,5,3,0,NA,8,5.541666667,1.863333333,5.976666667,3.336666667
pgw07,b,pgw07b2018,pgw,2018,2017,rx,5,0,0,NA,5,5.541666667,1.863333333,5.976666667,3.336666667
pgw07,c,pgw07c2018,pgw,2018,2017,rx,7,0,0,NA,5,5.541666667,1.863333333,5.976666667,3.336666667
pgw07,d,pgw07d2018,pgw,2018,2017,rx,15,0,1,NA,8,5.541666667,1.863333333,5.976666667,3.336666667
pgw08,a,pgw08a2018,pgw,2018,2017,rx,18,1,0,NA,16,5.541666667,1.863333333,5.976666667,3.336666667
pgw08,b,pgw08b2018,pgw,2018,2017,rx,17,0,1,NA,19,5.541666667,1.863333333,5.976666667,3.336666667
pgw08,c,pgw08c2018,pgw,2018,2017,rx,9,1,0,NA,18,5.541666667,1.863333333,5.976666667,3.336666667
pgw08,d,pgw08d2018,pgw,2018,2017,rx,50,0,0,NA,9,5.541666667,1.863333333,5.976666667,3.336666667
pgw09,a,pgw09a2018,pgw,2018,2017,rx,25,2,1,NA,53,5.541666667,1.863333333,5.976666667,3.336666667
pgw09,b,pgw09b2018,pgw,2018,2017,rx,60,0,0,NA,25,5.541666667,1.863333333,5.976666667,3.336666667
pgw09,c,pgw09c2018,pgw,2018,2017,rx,30,1,0,NA,61,5.541666667,1.863333333,5.976666667,3.336666667
pgw09,d,pgw09d2018,pgw,2018,2017,rx,10,0,0,NA,30,5.541666667,1.863333333,5.976666667,3.336666667
pgw10,a,pgw10a2018,pgw,2018,2017,rx,75,0,0,NA,10,5.541666667,1.863333333,5.976666667,3.336666667
pgw10,b,pgw10b2018,pgw,2018,2017,rx,65,0,0,NA,75,5.541666667,1.863333333,5.976666667,3.336666667
pgw10,c,pgw10c2018,pgw,2018,2017,rx,60,1,1,NA,67,5.541666667,1.863333333,5.976666667,3.336666667
pgw10,d,pgw10d2018,pgw,2018,2017,rx,30,1,0,NA,61,5.541666667,1.863333333,5.976666667,3.336666667
rc01,a,rc01a2018,rc,2018,2012,wild,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
rc01,b,rc01b2018,rc,2018,2012,wild,8,1,2,NA,11,5.541666667,1.863333333,5.976666667,3.336666667
rc01,c,rc01c2018,rc,2018,2012,wild,14,1,1,NA,16,5.541666667,1.863333333,5.976666667,3.336666667
rc01,d,rc01d2018,rc,2018,2012,wild,30,0,0,NA,30,5.541666667,1.863333333,5.976666667,3.336666667
rc02,a,rc02a2018,rc,2018,2012,wild,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
rc02,b,rc02b2018,rc,2018,2012,wild,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
rc02,c,rc02c2018,rc,2018,2012,wild,1,0,2,NA,3,5.541666667,1.863333333,5.976666667,3.336666667
rc02,d,rc02d2018,rc,2018,2012,wild,5,1,1,NA,7,5.541666667,1.863333333,5.976666667,3.336666667
rc03,a,rc03a2018,rc,2018,2012,wild,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
rc03,b,rc03b2018,rc,2018,2012,wild,1,3,0,NA,4,5.541666667,1.863333333,5.976666667,3.336666667
rc03,c,rc03c2018,rc,2018,2012,wild,7,7,3,NA,17,5.541666667,1.863333333,5.976666667,3.336666667
rc03,d,rc03d2018,rc,2018,2012,wild,1,0,1,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
rc04,a,rc04a2018,rc,2018,2012,wild,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
rc04,b,rc04b2018,rc,2018,2012,wild,8,3,6,NA,17,5.541666667,1.863333333,5.976666667,3.336666667
rc04,c,rc04c2018,rc,2018,2012,wild,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
rc04,d,rc04d2018,rc,2018,2012,wild,1,1,1,NA,3,5.541666667,1.863333333,5.976666667,3.336666667
rc05,a,rc05a2018,rc,2018,2012,wild,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
rc05,b,rc05b2018,rc,2018,2012,wild,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
