Plot,Quad,ID,Site,Sample.Year,Burn.Year,Treatment ,cyano,Lichen,Moss,Mixed,Total,treatment
pge04,b,pge042018,pge,2018,none,none,0,0,0,NA,0,control
pge04,c,pge042018,pge,2018,none,none,0,0,0,NA,0,control
pge04,d,pge042018,pge,2018,none,none,0,0,0,NA,0,control
pge04,a,pge042019,pge,2019,2017,rx,3,3,10,NA,16,burn
pge04,b,pge042019,pge,2019,2017,rx,0,0,3,NA,3,burn
pge04,c,pge042019,pge,2019,2017,rx,1,0,5,NA,6,burn
pge04,d,pge042019,pge,2019,2017,rx,1,1,6,NA,8,burn
pge04,a,pge042019,pge,2019,none,none,0,0,0,NA,0,control
pge04,b,pge042019,pge,2019,none,none,0,0,0,NA,0,control
pge04,c,pge042019,pge,2019,none,none,0,0,0,NA,0,control
pge04,d,pge042019,pge,2019,none,none,0,0,0,NA,0,control
pge04,a,pge042020,pge,2020,2017,none,0,0,0,0,0,control
pge04,b,pge042020,pge,2020,2017,none,0,0,1,0,1,control
pge04,c,pge042020,pge,2020,2017,none,0,0,0,0,0,control
pge04,d,pge042020,pge,2020,2017,none,0,0,1,0,1,control
pge04,a,pge042020,pge,2020,2017,rx,0,2,2,2,6,burn
pge04,c,pge042020,pge,2020,2017,rx,0,0,0,0,0,burn
pge04,b,pge042020,pge,2020,2017,rx,1,0,1,0,2,burn
pge04,d,pge042020,pge,2020,2017,rx,0,0,2,6,8,burn
pge05,a,pge052018,pge,2018,2017,rx,2,0,0,NA,2,burn
pge05,b,pge052018,pge,2018,2017,rx,20,1,0,NA,21,burn
pge05,c,pge052018,pge,2018,2017,rx,6,0,0,NA,6,burn
pge05,d,pge052018,pge,2018,2017,rx,29,0,1,NA,30,burn
pge05,a,pge052018,pge,2018,none,none,0,0,0,NA,0,control
pge05,b,pge052018,pge,2018,none,none,0,0,0,NA,0,control
pge05,c,pge052018,pge,2018,none,none,0,0,0,NA,0,control
pge05,d,pge052018,pge,2018,none,none,1,0,0,NA,1,control
pge05,a,pge052019,pge,2019,2017,rx,1,1,40,NA,42,burn
pge05,b,pge052019,pge,2019,2017,rx,1,0,5,NA,6,burn
pge05,c,pge052019,pge,2019,2017,rx,0,0,0,NA,0,burn
pge05,d,pge052019,pge,2019,2017,rx,1,1,1,NA,3,burn
pge05,a,pge052019,pge,2019,none,none,0,0,0,NA,0,control
pge05,b,pge052019,pge,2019,none,none,0,0,1,NA,1,control
pge05,c,pge052019,pge,2019,none,none,0,0,0,NA,0,control
pge05,d,pge052019,pge,2019,none,none,0,0,1,NA,1,control
pge05,a,pge052020,pge,2020,2017,none,0,0,0,0,0,control
pge05,b,pge052020,pge,2020,2017,none,0,0,0,0,0,control
pge05,c,pge052020,pge,2020,2017,none,0,0,1,1,2,control
pge05,d,pge052020,pge,2020,2017,none,0,0,1,0,1,control
pge05,a,pge052020,pge,2020,2017,rx,0,0,2,30,32,burn
pge05,c,pge052020,pge,2020,2017,rx,0,0,0,0,0,burn
pge05,b,pge052020,pge,2020,2017,rx,0,0,0,8,8,burn
pge05,d,pge052020,pge,2020,2017,rx,0,0,0,88,88,burn
pge06,a,pge062018,pge,2018,2017,rx,10,0,0,NA,10,burn
pge06,b,pge062018,pge,2018,2017,rx,5,0,1,NA,6,burn
pge06,c,pge062018,pge,2018,2017,rx,15,0,0,NA,15,burn
pge06,d,pge062018,pge,2018,2017,rx,5,0,0,NA,5,burn
pge06,a,pge062018,pge,2018,none,none,2,0,0,NA,2,control
pge06,b,pge062018,pge,2018,none,none,3,2,1,NA,6,control
pge06,c,pge062018,pge,2018,none,none,1,0,0,NA,1,control
pge06,d,pge062018,pge,2018,none,none,2,0,1,NA,3,control
pge06,a,pge062019,pge,2019,2017,rx,1,1,8,NA,10,burn
pge06,b,pge062019,pge,2019,2017,rx,1,0,1,NA,2,burn
pge06,c,pge062019,pge,2019,2017,rx,1,2,5,NA,8,burn
pge06,d,pge062019,pge,2019,2017,rx,0,10,3,NA,13,burn
pge06,a,pge062019,pge,2019,none,none,0,0,0,NA,0,control
pge06,b,pge062019,pge,2019,none,none,0,0,1,NA,1,control
pge06,c,pge062019,pge,2019,none,none,1,0,0,NA,1,control
pge06,d,pge062019,pge,2019,none,none,1,0,1,NA,2,control
pge06,a,pge062020,pge,2020,2017,none,0,0,0,10,10,control
pge06,b,pge062020,pge,2020,2017,none,1,14,1,0,16,control
pge06,c,pge062020,pge,2020,2017,none,0,0,0,0,0,control
pge06,d,pge062020,pge,2020,2017,none,1,5,1,0,7,control
pge06,a,pge062020,pge,2020,2017,rx,0,10,0,0,10,burn
pge06,c,pge062020,pge,2020,2017,rx,0,4,0,0,4,burn
pge06,b,pge062020,pge,2020,2017,rx,0,1,1,0,2,burn
pge06,d,pge062020,pge,2020,2017,rx,9,2,2,0,13,burn
pge07,a,pge072018,pge,2018,2017,rx,10,1,0,NA,11,burn
pge07,b,pge072018,pge,2018,2017,rx,20,1,0,NA,21,burn
pge07,c,pge072018,pge,2018,2017,rx,8,0,0,NA,8,burn
pge07,d,pge072018,pge,2018,2017,rx,25,0,0,NA,25,burn
pge07,a,pge072018,pge,2018,none,none,1,0,0,NA,1,control
pge07,b,pge072018,pge,2018,none,none,2,0,0,NA,2,control
pge07,c,pge072018,pge,2018,none,none,2,0,0,NA,2,control
pge07,d,pge072018,pge,2018,none,none,0,0,0,NA,0,control
pge07,a,pge072019,pge,2019,2017,rx,0,0,1,NA,1,burn
pge07,b,pge072019,pge,2019,2017,rx,2,0,5,NA,7,burn
pge07,c,pge072019,pge,2019,2017,rx,0,0,3,NA,3,burn
pge07,d,pge072019,pge,2019,2017,rx,1,0,4,NA,5,burn
pge07,a,pge072019,pge,2019,none,none,25,1,0,NA,26,control
pge07,b,pge072019,pge,2019,none,none,0,1,0,NA,1,control
pge07,c,pge072019,pge,2019,none,none,0,0,0,NA,0,control
pge07,d,pge072019,pge,2019,none,none,0,0,0,NA,0,control
pge07,a,pge072020,pge,2020,2017,none,0,0,2,0,2,control
pge07,b,pge072020,pge,2020,2017,none,0,0,0,12,12,control
pge07,c,pge072020,pge,2020,2017,none,0,0,0,0,0,control
pge07,d,pge072020,pge,2020,2017,none,0,0,0,0,0,control
pge07,a,pge072020,pge,2020,2017,rx,0,0,2,0,2,burn
pge07,c,pge072020,pge,2020,2017,rx,0,2,10,5,17,burn
pge07,b,pge072020,pge,2020,2017,rx,0,0,0,68,68,burn
pge07,d,pge072020,pge,2020,2017,rx,0,0,0,32,32,burn
pge08,a,pge082018,pge,2018,2017,rx,60,30,0,NA,90,burn
pge08,b,pge082018,pge,2018,2017,rx,55,5,0,NA,60,burn
pge08,c,pge082018,pge,2018,2017,rx,30,10,2,NA,42,burn
pge08,d,pge082018,pge,2018,2017,rx,35,6,0,NA,41,burn
pge08,a,pge082018,pge,2018,none,none,9,1,0,NA,10,control
pge08,b,pge082018,pge,2018,none,none,10,1,0,NA,11,control
pge08,c,pge082018,pge,2018,none,none,25,2,0,NA,27,control
pge08,d,pge082018,pge,2018,none,none,40,3,0,NA,43,control
