site,treatment,year ,fire.type,ID,chl,DW,chl_total_mg_per_g,chl_a,chl_a_total ,diff_a_b,prop.chl.a
pge,b,2019,rx,pge05B,31.71948,3.388,9.362302243,21.86886,6.454799292,2.907502951,0.689445729
pge,b,2019,rx,pge06B,23.73672,3.2886,7.217879949,13.60404,4.136726875,3.081153074,0.57312215
pge,b,2019,rx,pge07B,23.94696,4.2604,5.620824336,15.21312,3.570819641,2.050004695,0.635283978
pge,b,2019,rx,pge08B,27.39776,2.52,10.87212698,11.79992,4.682507937,6.189619048,0.430689224
pgw,b,2019,rx,pge09B,25.96944,3.4774,13.06768,9.94704,2.860481969,10.20719803,
pge,b,2019,rx,pge10B,75.81528,4.8531,15.62203128,50.75916,10.45912097,5.162910306,0.669510948
pgw,b,2019,rx,pgw01B,27.42624,3.6657,7.481856126,12.58008,3.431835666,4.05002046,0.458687738
pgw,b,2019,rx,pgw02B,,,,,,,
pge,b,2019,rx,pgw03B,,,,,,,
pgw,b,2019,rx,pgw04B,,,,,,,
pge,b,2019,rx,pgw05B,,,,,,,
pgw,b,2019,rx,pgw06B,12.96696,3.5682,3.634033967,5.21732,1.462171403,2.171862564,0.402354908
pgw,b,2019,rx,pgw07B,11.62424,2.5465,4.564790889,5.50988,2.163707049,2.401083841,0.47399916
pgw,b,2019,rx,pgw08B,24.9,3.1364,7.939038388,13.6528,4.353016197,3.586022191,0.548305221
pgw,b,2019,rx,pgw09B,,,,,,,
pgw,b,2019,rx,pgw10B,31.05728,4.3607,7.122085904,16.87096,3.86886509,3.253220813,0.543220784
rc,b,2019,wild,rc01B,26.2916,3.3952,7.743755891,9.9958,2.944097549,4.799658341,0.380189871
rc,b,2019,wild,rc02B,24.11344,2.823,8.54177825,12.58008,4.456280553,4.085497697,0.521704079
rc,b,2019,wild,rc03B,31.4491,4.737,6.639033143,20.98711667,4.430465836,2.208567307,0.667336002
rc,b,2019,wild,rc04B,29.60304,2.7301,10.84320721,13.55528,4.965122157,5.878085052,0.457901621
rc,b,2019,wild,rc05B,,,,,,,
rc,b,2019,wild,rc07B,15.82104,1.9995,7.912498125,6.48508,3.243350838,4.669147287,0.409902257
rc,b,2019,wild,rc08B,41.86288,2.0936,19.99564387,21.25936,10.15445166,9.841192205,0.507833193
rc,b,2019,wild,rc09B,35.86256,2.8686,12.50176393,15.70072,5.473304051,7.028459876,0.437802544
rc,b,2019,wild,rc10B,44.9168,2.3407,19.18947323,18.0412,7.707608835,11.4818644,0.401658177
pge,c,2019,none,pge01C,,,,,,,
pge,c,2019,none,pge02C,11.5328,2.5476,4.526927304,4.3884,1.722562412,2.804364892,0.380514706
pge,c,2019,none,pge03C,,,,,,,
pge,c,2019,none,pge04C,39.97256,2.3375,17.10056043,17.89492,7.655580749,9.444979679,0.447680109
pge,c,2019,none,pge05C,16.65512,2.9014,5.740373613,7.75284,2.672103123,3.06827049,0.465492893
pge,c,2019,none,pge06C,40.37436,3.9685,10.17370795,26.54982,6.690139851,3.483568099,0.657591105
pge,c,2019,none,pge07C,,,,,,,
pge,c,2019,none,pge08C,22.172,2.7869,7.955793175,9.752,3.499228533,4.456564642,0.439834025
pgw,c,2019,none,pge09C,,,,,,,
pge,c,2019,none,pge10C,17.13632,2.2544,7.601277502,8.48424,3.763413769,3.837863733,0.495102799
pgw,c,2019,none,pgw01C,28.88528,2.745,10.52287067,14.92056,5.435540984,5.08732969,0.516545452
pgw,c,2019,none,pgw02C,13.7036,2.794,4.904652827,6.5826,2.355977094,2.548675734,0.480355527
pgw,c,2019,none,pgw03C,8.34008,2.9595,2.81807062,2.97436,1.005021118,1.813049502,0.356634469
pgw,c,2019,none,pgw04C,16.8536,3.2064,5.256237525,6.8264,2.128992016,3.127245509,0.405041059
pgw,c,2019,none,pgw05C,63.11628,3.6368,17.35489441,45.27366,12.44876265,4.906131762,0.717305583
pgw,c,2019,none,pgw06C,67.43832,4.0026,16.84862839,48.71124,12.16989957,4.678728825,0.722308029
pgw,c,2019,none,pgw07C,37.70976,4.241,8.891714218,26.18412,6.174043858,2.71767036,0.694359232
pgw,c,2019,none,pgw08C,36.64752,3.1069,11.79552609,25.30644,8.145238019,3.650288071,0.690536222
pgw,c,2019,none,pgw09C,60.90136,3.0297,20.10144899,33.98572,11.21751989,8.883929102,0.558045338
pgw,c,2019,none,pgw10C,,,,,,,
rc,c,2019,none,rc01C,17.56296,3.6899,4.759738746,7.16772,1.942524188,2.817214559,0.408115716
rc,c,2019,none,rc02C,22.88472,4.1308,5.540021303,14.33544,3.470378619,2.069642684,0.626419725
rc,c,2019,none,rc03C,29.5888,3.158,9.369474351,13.1652,4.168841039,5.200633312,0.444938625
rc,c,2019,none,rc04C,20.8056,3.7953,5.481938187,8.2892,2.184069771,3.297868416,0.398411966
rc,c,2019,none,rc05C,24.86088,3.3279,7.470440819,11.75116,3.531103699,3.93933712,0.472676752
rc,c,2019,none,rc06C,16.89512,2.5593,6.601461337,8.24044,3.21980229,3.381659047,0.487740839
rc,c,2019,none,rc06C,108.3726,3.8474,28.16774965,69.8487,18.15477985,10.0129698,0.644523616
rc,c,2019,none,rc07C,37.84896,3.3433,11.32083869,22.52712,6.737989412,4.582849278,0.59518465
rc,c,2019,none,rc08C,12.37452,3.5737,3.462663346,7.38714,2.067084534,1.395578812,0.596963761
rc,c,2019,none,rc09C,12.4964,4.0133,3.113746792,5.6074,1.397204296,1.716542496,0.448721232
rc,c,2019,none,rc10C,45.15108,3.2031,14.09605694,26.25726,8.197452468,5.898604472,0.581542236
