"","Site","Treatment","Quad","ID","ng.cov","nng.cov","nnf.cov","nf.cov","BRODIA","EROBOT","FESMYU","SANARG","STIPUL","ACARAR","AVEBAR","AVEFAT","BROMAD","CENMEL","UNKNOWN","BROHOR","LASGRA","SPEMAC","LEPNIT","SALTRA","ACHMIL","EROCIC","SONOLE","DAUPUS","LUPBIC","MAFOFO","GILNEV","CALMEN","AVESPP","EROMOS","GALAPA","CRYINT","BROKIN","PTEDRY","CRACON","CALCIL","FESSPP","JEPMAL","HYPGLA","PELAND","AMBPUS","DICCAP","ALLPRA","CALMAC","OPULIT","AMSINT","AMSMEN","VIOPED"
"16","PGE","burn","B","PGE07",1.01129518072289,0.683669001751314,1.74425287356322,0,0.25,1.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","PGE","burn","B","PGE08",0,1.0938704028021,1.39540229885057,0.383848797250859,0.2,2.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","PGE","burn","B","PGE09",0.505647590361446,0.683669001751314,0.872126436781609,0.719716494845361,0.125,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.0625,0,0,0,0,0,0,0.375,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0
"19","PGE","burn","B","PGE10",0.505647590361446,0.683669001751314,0.872126436781609,0.719716494845361,0.125,0.875,0.125,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.125,0.25,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","PGE","burn","C","PGE01",1.01129518072289,0.683669001751314,0.872126436781609,0.479810996563574,0,5,0,0.25,2,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","PGE","burn","C","PGE03",0.809036144578313,1.64080560420315,0.697701149425287,0,0.6,1.6,0,0,0.8,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","PGE","burn","C","PGE04",1.01129518072289,1.36733800350263,0.872126436781609,0,0.125,2.25,0,0,0.75,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","PGE","burn","C","PGE05",0.809036144578313,1.0938704028021,1.39540229885057,0,0.2,1.2,0.1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","PGE","burn","C","PGE06",0.674196787148594,0.911558669001751,1.74425287356322,0,0,0.5,0.166666666666667,0,0.833333333333333,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","PGE","burn","C","PGE07",0,0.781336002001501,1.49507389162562,0.548355424644084,0.142857142857143,0,0,0,0,0,0,0.285714285714286,0,0.142857142857143,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0.142857142857143,0,4.28571428571429,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","PGE","burn","C","PGE08",0,0.683669001751314,1.74425287356322,0.479810996563574,0.25,0.75,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","PGE","burn","C","PGE09",0,0.911558669001751,1.74425287356322,0.319873997709049,0.5,2.5,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0
"28","PGE","burn","C","PGE10",0,1.0938704028021,0.697701149425287,0.767697594501718,0.2,2,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","PGE","burn","D","PGE01",0.674196787148594,1.8231173380035,0.581417624521073,0,0.333333333333333,1.66666666666667,0.0833333333333333,0,0.166666666666667,0,0.0833333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","PGE","burn","D","PGE02",0.809036144578313,1.64080560420315,0.697701149425287,0,0.1,0.8,0,0,0.2,0,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","PGE","burn","D","PGE03",0.674196787148594,0.911558669001751,1.16283524904215,0.319873997709049,0,1.16666666666667,0,0,0.166666666666667,0,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","PGE","burn","D","PGE04",0.809036144578313,1.0938704028021,1.39540229885057,0,0.1,1.6,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","PGE","burn","D","PGE05",0,1.36733800350263,1.74425287356322,0,0,1.25,0.125,0,0,0,0,0,0,0.125,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
