Identifier 1,BNF,Identifier 1,Site,Treatment,FireType,Year,%N_Inc,Total_N_Inc,d15N_Inc,atom%_inc,d15N_Cont,atom%_cont,atom%_excess,BNF(nmol/mg/day)
BP44,6446.668107,BP44,RC,Burn,wild,2018,0.316711714,10.8093708,6.822,0.368798899,5.014,0.368136628,0.00066227,6446.668107
BP45,27042.21602,BP45,RC,Burn,wild,2018,0.430462496,14.73473124,6.099,0.368534064,0.519,0.36649011,0.002043954,27042.21602
BP46,10339.7133,BP46,RC,Burn,wild,2018,0.310692885,11.89021671,8.5,0.36941355,5.544,0.368330767,0.001082783,10339.7133
BP47,1399.976386,BP47,RC,Burn,wild,2018,0.391039682,16.58790331,6.244,0.368587177,5.926,0.368470694,0.000116483,1399.976386
BP48,1981.651803,BP48,RC,Burn,wild,2018,0.213353926,9.300097634,7.957,0.369214649,7.132,0.368912452,0.000302198,1981.651803
BP49,6637.041889,BP49,PGE,Control,none,2018,0.158730323,5.942863293,8.662,0.369472891,4.948,0.368112452,0.001360438,6637.041889
BP50,7057.055225,BP50,PGE,Control,none,2018,0.221887228,8.482748726,9.301,0.369706956,6.476,0.368672159,0.001034798,7057.055225
BP51,1099.537083,BP51,PGE,Control,none,2018,0.222978511,9.001642489,6.573,0.36870769,6.135,0.368547251,0.000160439,1099.537083
BP52,#VALUE!,BP52,PGE,Control,none,2018,0.22282461,8.897386677,8.836,0.369536627,NA,#VALUE!,#VALUE!,#VALUE!
BP53,5498.22588,BP53,PGE,Control,none,2018,0.214574229,8.40487255,6.569,0.368706225,4.293,0.367872526,0.000833699,5498.22588
BP54,-2947.494066,BP54,PGE,Control,none,2018,0.35283875,12.51519046,6.295,0.368605859,7.037,0.368877653,-0.000271795,-2947.494066
BP55,13008.1217,BP55,PGE,Burn,rx,2018,0.322474237,12.02828904,6.492,0.36867802,2.909,0.367365567,0.001312453,13008.1217
BP56,-8426.031353,BP56,PGE,Burn,rx,2018,0.338043582,13.24792798,7.866,0.369181316,10.08,0.369992304,-0.000810988,-8426.031353
BP57,-4210.959175,BP57,PGE,Burn,rx,2018,0.316707519,11.38563531,6.173,0.36856117,7.354,0.36899377,-0.0004326,-4210.959175
BP58,-10445.84559,BP58,PGE,Burn,rx,2018,0.333993951,14.35839995,6.053,0.368517214,8.831,0.369534795,-0.001017581,-10445.84559
BP59,20891.06049,BP59,PGE,Burn,rx,2018,0.361295633,14.01827056,8.388,0.369372524,3.252,0.367491208,0.001881317,20891.06049
BP60,18816.60278,BP60,PGE,Control,none,2018,0.208971499,8.613805189,8.3,0.36934029,0.302,0.366410623,0.002929667,18816.60278
BP61,-4467.205005,BP61,PGW,Control,none,2018,0.36672107,14.7385198,6.697,0.368753111,7.779,0.369149448,-0.000396337,-4467.205005
BP62,-32975.80404,BP62,PGW,Control,none,2018,0.477661775,17.48719758,2.37,0.367168131,8.502,0.369414283,-0.002246152,-32975.80404
