domain,phylum,class,order,family,genus,OTU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,sum
Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,14,0,0,0,2.08738E-05,6.99447E-06,1.19499E-05,4.03259E-06,0,9.59335E-06,8.62466E-06,1.50465E-05,0,7.19905E-06,0,0,0,2.68527E-06,6.4598E-06,1.47477E-05,8.5467E-06,9.42019E-06,0,1.42936E-05,1.60943E-05,0.000156562
Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,15,1.09408E-05,1.55027E-05,5.656E-06,2.08738E-05,6.99447E-06,2.98746E-05,8.06518E-06,1.29768E-05,9.59335E-06,2.57851E-05,1.20372E-05,1.0595E-05,1.43981E-05,0,1.101E-05,2.86461E-05,2.68527E-05,2.26426E-05,1.17981E-05,1.70934E-05,2.20128E-05,0,1.42936E-05,1.34581E-05,0.000351101
Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,16,0.000186107,0.000118801,0.000164141,0.000173948,0.000112128,0.000179248,0.000104972,0.00010368,0.000105329,0.000138039,0.000132471,9.55736E-05,0.00013693,9.17674E-05,0.000121166,0.00019775,0.000126235,0.000100227,0.000121022,0.00035905,0.000125603,9.28678E-05,0.00017867,0.000105029,0.003370756
Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,17,2.18817E-05,3.08988E-05,3.96503E-05,1.39158E-05,2.09834E-05,5.97493E-06,1.61304E-05,1.29768E-05,2.878E-05,2.57851E-05,3.61426E-05,4.238E-05,2.87962E-05,3.44572E-05,1.6515E-05,2.14384E-05,4.0279E-05,2.91357E-05,4.4243E-05,8.12818E-05,2.20128E-05,2.44124E-05,3.92338E-05,1.88692E-05,0.000696174
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,18,8.7414E-05,7.75135E-05,4.51897E-05,7.63937E-05,6.99447E-05,0.000101635,7.2545E-05,5.19071E-05,9.59335E-05,6.4685E-05,6.91828E-05,7.42743E-05,0.000129509,2.29715E-05,4.96584E-05,7.17076E-05,3.22509E-05,0.000106553,3.83136E-05,0.000102649,7.85016E-05,9.28678E-05,6.07847E-05,7.27018E-05,0.001745087
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula,19,0.000208102,8.28409E-05,0.00013003,0.000125171,0.000188923,0.000203271,0.000104972,0.00010368,0.000105329,0.000112254,0.000169079,0.000148549,0.000100935,8.05185E-05,0.000154083,0.000157831,0.000145337,0.000181474,0.00013577,0.000273142,0.000150853,0.000146474,0.000208142,0.000140131,0.003556889
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,20,4.37634E-05,4.12873E-05,7.93006E-05,7.63937E-05,6.99447E-05,8.37721E-05,5.65394E-05,5.19071E-05,5.73623E-05,7.75775E-05,5.41363E-05,0.00010595,0.000143981,6.86775E-05,7.71833E-05,6.09884E-05,6.71317E-05,9.04039E-05,7.96679E-05,0.000128201,8.78894E-05,7.82707E-05,7.14681E-05,5.92436E-05,0.001811041
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax,21,0.000120124,6.71251E-05,3.96503E-05,5.55917E-05,6.99447E-05,5.97493E-05,6.04888E-05,1.29768E-05,7.66479E-05,5.17924E-05,8.1282E-05,7.42743E-05,9.35135E-05,4.59429E-05,6.04413E-05,5.7477E-05,7.79282E-05,6.4598E-05,5.6102E-05,9.8243E-05,5.97259E-05,4.88248E-05,7.5152E-05,4.31493E-05,0.001550745
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halogeometricum,22,6.54195E-05,7.24525E-05,6.79303E-05,6.95792E-05,3.49723E-05,8.37721E-05,7.67023E-05,7.75931E-05,3.83734E-05,6.4685E-05,6.32883E-05,8.46509E-05,4.30459E-05,6.86775E-05,6.04413E-05,6.81962E-05,5.91036E-05,9.37337E-05,5.30612E-05,0.000128201,5.03381E-05,6.84554E-05,0.000103702,4.03744E-05,0.001636749
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomicrobium,23,6.54195E-05,4.66146E-05,5.656E-05,2.08738E-05,4.90334E-05,7.76124E-05,5.23821E-05,6.48839E-05,4.79667E-05,5.17924E-05,7.22852E-05,2.119E-05,7.19905E-05,2.29715E-05,4.96584E-05,0.000100354,7.51599E-05,6.14347E-05,5.30612E-05,8.5467E-05,8.48141E-05,4.88248E-05,7.14681E-05,5.38326E-05,0.001405651
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloquadratum,24,7.66987E-05,8.28409E-05,8.484E-05,9.03813E-05,3.49723E-05,0.000161385,5.23821E-05,6.48839E-05,9.59335E-05,6.04615E-05,9.63285E-05,9.55736E-05,9.35135E-05,3.44572E-05,6.04413E-05,9.68423E-05,6.17335E-05,8.40773E-05,5.30612E-05,0.000162564,5.97259E-05,9.76496E-05,9.65188E-05,7.27018E-05,0.001969967
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorhabdus,25,4.37634E-05,7.24525E-05,3.96503E-05,4.16041E-05,3.49723E-05,3.57264E-05,2.82697E-05,2.59536E-05,5.73623E-05,3.02308E-05,4.51394E-05,4.238E-05,2.87962E-05,1.14857E-05,2.20199E-05,4.6573E-05,4.56773E-05,5.17783E-05,7.08497E-05,7.2691E-05,6.28013E-05,4.88248E-06,6.79684E-05,5.11965E-05,0.001034224
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum,26,3.28225E-05,4.66146E-05,4.51897E-05,6.27648E-05,6.30944E-05,7.17607E-05,4.84326E-05,3.89303E-05,2.878E-05,3.44542E-05,4.51394E-05,4.238E-05,1.43981E-05,3.44572E-05,5.50498E-05,3.58538E-05,5.10755E-05,5.49416E-05,4.13543E-05,5.13243E-05,3.77131E-05,1.95299E-05,4.64174E-05,3.49634E-05,0.001037442
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloterrigena,27,9.86932E-05,0.00011374,0.00013003,0.000118356,8.40057E-05,0.00013151,0.000120978,0.000168564,4.79667E-05,9.06923E-05,0.000165977,0.00010595,0.000115408,4.59429E-05,7.71833E-05,0.000111258,0.000110179,0.000116376,0.000112204,0.000226884,0.00010359,0.000151508,0.000132253,0.00011044,0.002789688
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natrialba,28,8.7414E-05,5.16757E-05,6.79303E-05,7.63937E-05,8.40057E-05,8.37721E-05,8.06518E-05,2.59536E-05,2.878E-05,5.17924E-05,6.91828E-05,5.29751E-05,4.30459E-05,3.44572E-05,5.50498E-05,6.09884E-05,4.83072E-05,6.79278E-05,3.54248E-05,6.85058E-05,5.97259E-05,4.88248E-05,7.14681E-05,5.11965E-05,0.001405449
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,29,9.86932E-05,0.00011374,0.000118951,9.75544E-05,0.000125828,0.000107487,0.000141141,6.48839E-05,0.000105329,8.62466E-05,0.000114477,0.000116327,0.000122458,3.44572E-05,0.0001433,0.000118281,0.000120837,0.000139019,0.000132729,0.000170934,0.000187756,8.30525E-05,0.000128753,0.000118487,0.002790722
