domain,phylum,className,order,family,genus,bulk1,bulk1,bulk2,bulk3,bulk4,bulk5,bulk6,nulk7,bulk8,bulk8,bulk9,bulk10,bulk11,bulk12,bulk13,bulk14,bulk15,bulk15,bulk16,bulk17,bulk18,bulk19,bulk20,bulk20,bulk21,bulk22,bulk23,bulk24,bulk25,bulk26,bulk26,bulk27,bulk28,bulk29,bulk29,bulk30,bulk31,bulk32,bulk33,bulk34,bulk34,bulk35,bulk36,bulk37,bulk38,bulk38,bulk39,bulk40
Bacteria,Actinobacteria,Actinobacteria (class),Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,0.001647024,0.00151183,0.001398902,0.001709,0.001211054,0.001528094,0.001503427,0.001605548,0.001240995,0.00193145,0.001759727,0.001604696,0.001513274,0.001404179,0.001842258,0.001246652,0.001140568,0.001886556,0.001444313,0.00132455,0.001069797,0.001274735,0.001152476,0.001412476,0.001914123,0.001314995,0.001706499,0.001675087,0.001707295,0.001645049,0.001406439,0.001365884,0.001895779,0.001671464,0.001330236,0.001901981,0.002151421,0.001447647,0.001625968,0.001524798,0.001460197,0.001437362,0.001501285,0.001425823,0.001548057,0.001469127,0.001925566,0.001358397
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,0.003550253,0.002865605,0.003234497,0.003432671,0.002392748,0.00227686,0.002754177,0.002236038,0.002640898,0.002575266,0.00210888,0.002105306,0.002846211,0.003286069,0.002541762,0.003096081,0.002320924,0.002579276,0.002339082,0.001947868,0.002481334,0.002402948,0.002570324,0.003031454,0.002520578,0.002341496,0.002572484,0.002280969,0.003429437,0.002443847,0.003774795,0.002093856,0.002820359,0.002331055,0.002439915,0.002686131,0.002272288,0.002412745,0.0023942,0.002067775,0.00232067,0.002842423,0.002083976,0.002338652,0.003103556,0.001979,0.002525332,0.002086922
Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,0.00064417,0.000515397,0.000673545,0.000601451,0.000697273,0.00065708,0.000802249,0.000586502,0.00079454,0.000571387,0.000719254,0.000672052,0.000642946,0.000644185,0.000519434,0.000650725,0.000755958,0.000795891,0.000619998,0.000630401,0.000497753,0.000673998,0.000629312,0.000693848,0.000745434,0.000583697,0.000687694,0.000632613,0.000571573,0.000450807,0.000488246,0.000487816,0.000505023,0.000614619,0.000482469,0.000583942,0.000765487,0.000669807,0.000686188,0.000565291,0.000658392,0.00055718,0.00074036,0.000641243,0.000632619,0.000734563,0.000583983,0.000584338
Bacteria,Acidobacteria,Acidobacteria (class),Acidobacteriales,Acidobacteriaceae,Acidobacterium,0.016587365,0.012610037,0.019414386,0.014552176,0.012088517,0.009733959,0.011231484,0.010996906,0.011539742,0.011918654,0.012325075,0.008949267,0.01459173,0.02319791,0.01286118,0.017877814,0.009403058,0.013412235,0.012456318,0.010900977,0.011931206,0.014139298,0.009037835,0.01675973,0.014624409,0.014236833,0.016309377,0.013944205,0.022350723,0.011104081,0.023180738,0.010791988,0.02172376,0.010051268,0.013226547,0.01525756,0.014979372,0.01279115,0.010785089,0.00804796,0.011727204,0.011999548,0.014053128,0.013488741,0.012964975,0.007985136,0.012397803,0.010867173
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Acidothermaceae,Acidothermus,0.00475075,0.004927192,0.004381745,0.00501698,0.004499248,0.004645406,0.004598718,0.003826923,0.003934863,0.005560965,0.004916064,0.004745512,0.00401449,0.005363386,0.004702607,0.003842703,0.003594117,0.004067887,0.004410439,0.004483638,0.003662568,0.004241789,0.003973008,0.004584352,0.005439143,0.005803422,0.005739271,0.00498071,0.005604383,0.004444796,0.005458149,0.005290926,0.005182313,0.004287342,0.004514533,0.005338895,0.006317282,0.004897512,0.005810224,0.00436613,0.005390994,0.004707763,0.003592117,0.004383086,0.004093419,0.003275288,0.004703431,0.003999302
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,0.0040407,0.0054151,0.005780646,0.004613568,0.006084627,0.007212604,0.005255677,0.007287283,0.005032084,0.006953219,0.007639451,0.005026676,0.005323903,0.004436917,0.005970025,0.006952483,0.004416387,0.003854175,0.006439522,0.007005242,0.007414286,0.006761954,0.004753962,0.005137778,0.00551495,0.006997652,0.005450609,0.003733305,0.004030702,0.004610883,0.004161019,0.005763732,0.005384323,0.00424237,0.005265806,0.004721585,0.004391478,0.005416072,0.003915748,0.004909107,0.005130244,0.006250101,0.005868038,0.005386443,0.003676635,0.005003673,0.00464819,0.005843382
Archaea,Euryarchaeota,unclassified (derived from Euryarchaeota),unclassified (derived from Euryarchaeota),unclassified (derived from Euryarchaeota),Aciduliprofundum,2.92804E-05,2.74878E-05,4.44096E-05,2.20043E-05,2.20192E-05,6.11238E-05,4.42184E-05,5.86502E-05,6.05364E-05,6.43817E-05,9.07796E-05,4.11461E-05,6.27264E-05,2.17141E-05,4.15547E-05,5.47979E-05,9.2837E-05,8.84323E-05,5.63634E-05,7.79147E-05,4.45749E-05,4.39564E-05,3.79104E-05,7.43408E-05,3.79034E-05,2.01275E-05,2.54701E-05,8.01903E-05,2.96921E-05,3.95444E-05,7.28725E-05,6.00389E-05,4.66175E-05,7.49535E-05,4.82469E-05,3.33681E-05,3.2231E-05,5.04156E-05,3.72928E-05,6.69424E-05,3.25937E-05,7.26756E-05,2.74207E-05,7.54404E-06,6.69832E-05,3.45677E-05,1.57833E-05,4.55328E-05
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,0.000746651,0.000714683,0.000717955,0.000821494,0.000829388,0.000725845,0.000745397,0.00098239,0.000930746,0.000684055,0.000593559,0.000809206,0.000870329,0.00084685,0.000817242,0.000671274,0.00070954,0.000788521,0.000697497,0.000580819,0.000683481,0.000783889,0.000826446,0.000784709,0.000600138,0.000623952,0.000687694,0.000570242,0.000623534,0.000648529,0.000801597,0.000697952,0.000644876,0.000667086,0.000709919,0.000550574,0.000588216,0.00071302,0.000656354,0.000661986,0.00072358,0.00058948,0.000760925,0.000777036,0.000878224,0.000924686,0.00080495,0.000857535
Eukaryota,Streptophyta,Liliopsida,Acorales,Acoraceae,Acorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08316E-06,0,0,0,0,0,0,0,0,7.42302E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,0.000102482,0.000164927,0.000148032,0.000264052,0.000176153,0.000152809,0.000183191,0.000161288,0.000136207,0.000201193,0.00016061,0.000253734,0.00019602,0.000151999,8.31094E-05,0.000212342,0.000212199,0.000206342,0.000183181,0.000120414,0.000178299,0.000219782,0.000227462,0.000148682,0.000164248,0.000134183,0.000161311,0.000213841,0.000141037,0.00028472,0.000153032,0.000180117,0.000217548,0.00020987,0.000144741,0.00012513,0.000201444,0.000165651,0.000216298,0.000126447,0.000162968,0.000209952,0.000205656,0.000143337,0.000178622,0.00018148,0.000157833,0.000227664
